English,Afrikaans,isiXhosa,isiZulu
1 tablet,1 tablet,Ipilisi e-1,1 iphilisi
2 tablets,2 tablette,iipilisi ezi-2,2 amaphilisi
Half tablet,Halwe tablet,isiqingatha sepilisi,uhhafu wephilisi
Quarter tablet,Kwart tablet,ikota yepilisi,ikota yephilisi
1 capsule,1 kapsule,Ipilisi e-1,1 iphilisi (icapsule)
2 capsules,2 kapsules,iipilisi ezi-2,2 amaphilisi (ama-capsules)
Half capsule,Halwe kapsule,isiqingatha sepilisi,uhhafu wephilisi (uhhafu we-capsule)
1 puff,1 inhalasie,umfunxo om-1,Futha kanye (1 puff)
2 puffs,2 inhalasies,imifunxo emi-2,futha kabili (2 puffs)
3 puffs,3 inhalasies,imifunxo emi-3,futha kathathu (3 puffs)
4 puffs,4 inhalasies,imifunxo emi-5,futha kane (4 puffs)
1 spray,1 sproei,spreya ka-1,Futha kanye
2 sprays per nostril,2 sproeie per neusgat,spreya ka-2 kwicala lempumlo ngalinye,futha kabili ekhaleni ngalinye
3 sprays per nostril,3 sproeie per neusgat,spreya ka-3 kwicala lempumlo nalinye,futha kathathu ekhaleni ngalinye
1 drop,1 druppel,ithontsi eli-1,1 iconsi
2 drops per nostril,2 druppels per neusgat,amathontsi ama-2 kwicala lempumlo ngalinye,2 amaconsi ekhaleni ngalinye
3 drops per nostril,3 druppels per neusgat,amathontsi ama-3 kwicala lempumlo ngalinye,3 amaconsi ekhaleni ngalinye
2 drops per eye,2 druppels per oog,amathontshi ama-2 kwiliso ngalinye,2 amaconsi esweni ngalinye
3 drops per eye,3 druppels per oog,amathontsi ama-3 kwiliso ngalinye,3 amaconsi esweni ngalinye
Small amount,Klein hoeveelheid,Ncinci kancinci,Isilinganiso esincane
Apply a thin layer,Wend 'n dun laag aan,Qaba umaleko omncinci,Gcoba kancane
2 drops,2 druppels,amathontsi ama-2,2 amaconsi
3 drops,3 druppels,amathontsi ama-3,3 amaconsi
4 drops,4 druppels,amathontsi ama-4,4 amaconsi
5 drops,5 druppels,amathontsi ama-5,5 amaconsi
1 pessary,1 vaginale setpil,Isixhobo esi-1 sokuxhasa i-pelvic,1 ipessary
1 suppository,1 setpil,ipilisi efakwa kwilungu langasese lwangasemva e-1,1 iphilisi (1 issupository)
1 patch,1 pleister,ipetshi e-1,1 ipatch
1 spray,1 spuit,spreya ka-1,Futha kanye
2 sprays,2 spuite,spreya ka-2,futha kabili
3 sprays,3 spuite,spreya ka-3,futha kathathu
1 lozenge,1 suigtablet,isimungunyi esi-1,1 iphilisi (1 ilozenge)
2 lozenges,2 suigtablette,isimungunyi ezi-2,2 amaphilisi (2 ama-lozenges)
1 drop,1 druppel,ithontsi eli-1,I iconsi
2 drops,2 druppels,amathontsi ama-2,2 amaconsi
3 drops,3 druppels,amathontsi ama-3,3 amaconsi
Apply thinly with a brush or applicator,Wend 'n dun laag aan met 'n kwas of toediener,Qaba kancinci ngebrashi okanye ngento yokuqaba,Gcoba kancane ngebrashi noma nge-applicator
1 teaspoon,1 teelepel,icetshana eli-1,1 ithisipuni
2 teaspoons,2 teelepels,amacetshana ama-2,2 amathisipuni
3 teaspoons,3 teelepels,amacetshana ama-3,3 amathisipuni
1 sachet,1 sakkie,isatshethi e-1,1 iphakethe
2 sachets,2 sakkies,iisatshethi ezi-2,2 amaphakethe
