English,Afrikaans,isiXhosa,isiZulu
Before meals,Voor etes,Phambi kokutya,Phambi kokudla
After meals,Na etes,Emva kokutya,Ngemva kokudla
With meals,Met etes,Ngethuba lokutya,Nokudla
Without regard to meals,Met of sonder kos,Ngaphandle kokunaka ukutya,ngokunganaki izikhathi zokudla
As prescribed,Soos voorgeskryf,Njengoko kumiselwe,njengoba kushiwo
"Swallow whole, Do not crush or chew, With a full glass of water","Sluk heel, Moenie fynmaak of kou nie, Met 'n vol glas water","Ginya yonke, musa ukuyityumza okanye ukuyihlafuna, ngeglasi yamanzi egcweleyo","Gwinya wonke, ungawagayi futhi ungawahlafuni, phuza ngamanzi agcwele ingilazi."
Dissolve in water before taking,Los op in water,Nyibilikisa emanzini phambi kokuba usele,Wancibikalise emanzini ngaphambi kokuba uwaphuze.
Swallow whole,Sluk heel,Ginya yonke (also depends on what is being swallowed),Gwinya konke
"Swallow whole, Do not crush or chew, With a full glass of water",Sluk heel,"Ginya yonke, musa ukuyityumza okanye ukuyihlafuna, ngeglasi yamanzi egcweleyo","Gwinya konke, ungawagayi futhi ungawahlafuni, phuza ngamanzi agcwele ingilazi."
"Shake well before use, Measure with a dosing spoon or cup","Skud goed voor gebruik, Meet met 'n doseringslepel of doseringskoppie",Hlukuhla kakuhle phambi kokuyisebenzisa; linganisa ngecepe lokulinganisa okanye ngekopi yokulinganisa,"Wuxukuze ngaphambi kokuwusebenzisa, wukale ngesipuni esifanele noma ngenkomishi efanele"
"Shake well before use, Measure with a dosing spoon or cup","Skud goed voor gebruik, Meet met 'n doseringslepel of doseringskoppie",Hlukuhla kakuhle phambi kokuyisebenzisa; linganisa ngecepe lokulinganisa okanye ngekopi yokulinganisa,"Wuxukuze ngaphambi kokuwusebenzisa, wukale ngesipuni esifanele noma ngenkomishi efanele"
